"DataFox Id","Name","Top Keywords","Year Founded","Exit Status","Location","Score","Revenue Estimate","Private Funding","Headcount","Web Traffic"
"5130efcc8989846a360017f0","Diversity Limited","content, web development, saas, enterprise software, interop las vegas 2015   speakers","2007",,,,,,"=""1-10""",
"5130efd08989846a3600225a","Qrimp","application platforms, software, saas, paas, databases","2006",,,,,,"=""Unknown""","436"
"5130efd28989846a36002872","Xcerion","webos, web development, software, cloud computing, consumers","2001",,,"937","> $7m","15340000","=""11-50""","1004"
"5130efd78989846a360039b0","Big Blue Q","file sharing, enterprises, social network media, business intelligence, paas","2008",,"Delaware, OH","854","> $2m",,"=""11-50""",
"5130efd98989846a36003d22","Intera","video on demand, project management, crm, software, paas",,,,,,,"=""11-50""",
"5130efdd8989846a36004aa2","ActiveWIT","tracking, software, accounting, saas, paas","2008",,,,,,"=""1-10""",
"5130efe08989846a36005520","ForeSoft","curated web, cloud computing, databases, paas, saas","2001",,"Lake Zurich, IL",,"> $2m",,"=""11-50""","896"
"5130efe08989846a3600554e","DreamFace Interactive","big data, portals, data integration, tablets, web development","2007",,,"878","> $2m","150000","=""11-50""","221"
"5130efe28989846a36005c0e","ElectricApps","cloud computing, software, paas, custom software & technical consulting","2007",,"Edgewater, CO",,"> $2m",,"=""11-50""",
"5130eff28989846a36008b2a","NewServers","web hosting, dedicated servers, bare metal cloug server, hourly billing, cloud computing","2007",,"Fort Lauderdale, FL","876","> $7m",,"=""11-50""","0"
"5130eff98989846a3600a2a4","Clickom","cloud computing, electronics, business intelligence, internet, paas","2009",,,"827","> $1m",,"=""11-50""","0"
"5130f0068989846a3600ce7c","SaaS&CRM Consulting., Ltd","sns, seo, web cms, crm, blogging platforms","2009",,,,,,"=""1-10""",
"5130f0098989846a3600d448","JRapid","web development, software, applications, cloud computing, paas","2008","private","Sunnyvale, CA",,,"420000","=""11-50""","670"
"5130f0098989846a3600d692","4AM Technologies","flash storage, software, document management, cloud data services, 4am","2008",,,,,,"=""Unknown""","64"
"5130f00e8989846a3600e8ea","KnowledgeBlue","web hosting, open source, business intelligence, software, paas","2002",,"Salt Lake City, UT","838","> $250k",,"=""1-10""","0"
"5130f0128989846a3600f59c","Opus Interactive","networking, web hosting, data centers, virtualization, saas","1994",,"Portland, OR",,"> $1m",,"=""1-10""","3071"
"5130f01f8989846a360122bc","TechPRO Media","b2b marketing, lead generation, demand generation, it professionals, content syndication","2008","private","San Francisco, CA",,,,"10","442"
"5130f0208989846a3601243a","Xuropa","cloud computing, crm, software, enterprise software, iaas","2008","private","San Francisco, CA","880","> $1m",,"3","355"
"5130f0208989846a3601284e","Digital Mines","cloud computing, iaas, enterprise software, custom software & technical consulting, software","2010",,,,"> $7m","1058625","=""11-50""","0"
